Parent,Venture,Description,Link
Coinbase,(O)1 Labs,Building a private and secure Web3 through zero-knowledge; powering Mina Protocol,https://o1labs.org/
Coinbase,0x,DEX infrastucture & DeFi liquidity aggregator,https://0x.org/
Coinbase,Acala,DeFi hub of Polkadot,https://acala.network/
Coinbase,Affine,Cross-chain DeFi portfolio management,https://affinedefi.com/
Coinbase,Airtm,Global P2P payment network based in LatAm,https://www.airtm.com/
Coinbase,Alchemy,Leading blockchain development platform,https://www.alchemy.com/
Coinbase,Aleo,"Private, programmable L1 pioneering toolkit for building private applications",https://www.aleo.org/
Coinbase,AlgoFi,All-in-one DeFi hub on Algorand,https://www.algofi.org/
Coinbase,Alliance DAO,Leading Web3 accelerator and founder community,https://alliance.xyz/
Coinbase,Alluvial,"Enterprise-focused, multi-chain liquid staking solution",https://alluvial.finance/
Coinbase,Alongside,"Cryptoasset index funds for passive, long-term investing",https://alongside.xyz/
Coinbase,Alta Labs,"Carta for crypto (cap table management, token vesting schedules, etc.)",https://altalabs.xyz/
Coinbase,Altered State Machine,"Platform to build, train & trade AI agents using NFTs",https://www.alteredstatemachine.xyz/
Coinbase,Alto,Self-directed IRA enabling investments in crypto & alternative assets,https://www.altoira.com/
Coinbase,Amber Group,Leading diversified crypto trading platform focused on the Asian market,https://www.ambergroup.io/
Coinbase,Amberdata,Comprehensive blockchain data & insights tool,https://www.amberdata.io/
Coinbase,Ancient8,Vietnam-based gaming guild/DAO building GameFi infrastructure,https://www.ancient8.gg/
Coinbase,Anima,Platform and studio specializing in AR for NFTs,https://anima.supply/
Coinbase,Animoca Brands,Leader in branded (NFT/IP-focused) blockchain gaming,http://www.animocabrands.com/
Coinbase,Anoma,"L1 interoperability layer between blockchains, facilitating private transactions and efficient token swaps",https://anoma.network/
Coinbase,Aptos,Building the safest & most scalable L1 blockchain,https://aptoslabs.com/
Coinbase,Arbitrum,L2 scaling platform for Ethereum via optimistic roll-ups,https://offchainlabs.com/
Coinbase,Architect,Architect provides traders with adaptable infrastructure that redefines access to global digital asset markets,https://www.architect.xyz/
Coinbase,Arkive,"Web3 native museum, where membership is based on NFT ownership",https://arkive.net/
Coinbase,Arweave,Arweave provides permanent data storage via a novel block-weave chain,https://www.arweave.org/
Coinbase,Astar Network,Astar is the Future of Multichain Smart Contracts,https://astar.network/
Coinbase,Audius,"Decentralized, community-owned and artist-controlled music-sharing protocol",https://audius.co/
Coinbase,Aurigami,Lending & borrowing (Compound/Aave) liquidity protocol for Aurora/NEAR,https://aurigami.finance/
Coinbase,Avalon,Gaming studio building the Oasis – a P2E UGC MMORPG,https://www.playavalon.com/
Coinbase,Axelar,Cross-chain communication and interoperability platform,https://axelar.network/
Coinbase,Azra Games,Action RPG game studio founded by former EA team who built Star Wars: Galaxy of Heroes,https://azragames.com/
Coinbase,Aztec,"Enables affordable, private crypto payments via ZK-proofs on Ethereum",https://aztec.network/
Coinbase,Backdrop Labs,A sufficiently decentralized professional network,https://backdrop.so/
Coinbase,Backed,Borrow & lend against your NFTs,https://staging.withbacked.xyz/network/rinkeby
Coinbase,Biconomy,Helping create cross-chain bridges and gas fee abstraction,https://www.biconomy.io/
Coinbase,Bison Trails,,https://blog.coinbase.com/coinbase-to-acquire-leading-blockchain-infrastructure-platform-bison-trails-f879654421d6
Coinbase,Bitnomial,Bitcoin derivatives exchange,https://bitnomial.com/ 
Coinbase,bitsCrunch,Analytics & security platform for NFTs,https://bitscrunch.com/
Coinbase,Bitski,Shopify for NFTs – unlocking commerce in the metaverse,https://www.bitski.com/
Coinbase,Bitso,Leading crypto exchange in Mexico and Argentina,https://bitso.com/
Coinbase,Bitwise,Crypto asset manager behind the world's first and largest crypto index fund,https://bitwiseinvestments.com/
Coinbase,Bling Financial,Making mobile games more fun & financially rewarding,https://www.blingfi.com/
Coinbase,Block Earner,Mass-market high-yield savings account powered by DeFi for Australia,https://blockearner.com.au/
Coinbase,Block.Green,Platform empowering sustainable mining operations,https://www.block.green/
Coinbase,Blocknative,Bringing real-time mempool data to builders & traders,https://www.blocknative.com/
Coinbase,Blockrize,The Blockrize card is the first credit card with rewards in Bitcoin or Ethereum,https://www.prnewswire.com/news-releases/gemini-to-offer-credit-card-with-crypto-rewards-301208166.html
Coinbase,bloXroute,Facilitating faster DeFi transactions via their blockchain distribution network,https://bloxroute.com/
Coinbase,Bonfire,"Build a custom web3-native home for your community, powered by your social token & NFTs",https://getbonfire.xyz
Coinbase,Bounce,Decentralized auction platform for primary issuance,https://bounce.finance/ 
Coinbase,Braintrust,"Decentralized, user-owned talent marketplace",https://usebraintrust.com/
Coinbase,Branch,"Social gaming platform for creating, playing and monetizing games",https://branch.gg
Coinbase,Brave,Privacy-focused open-sourced web browser,https://www.brave.com/
Coinbase,Bridgesplit,NFT liquidity & yield on Solana,https://bridgesplit.com/
Coinbase,Brydge,Rosetta for smart contracts,https://www.brydge.network
Coinbase,Casa,Leading provider of Bitcoin self-custody solutions,https://keys.casa/
Coinbase,Cashmere Finance,Gnosis Safe for Solana,https://www.cashmere.finance/
Coinbase,Cega,Exotic options & derivatives protocol on Solana,https://cega.fi/
Coinbase,Celestia,Modular consensus and data network for deploying new blockchains,https://celestia.org/
Coinbase,Celo,"Platform for fast, secure, mobile digital payments",https://celo.org/
Coinbase,Centrifuge,The on-chain ecosystem for structured credit,https://centrifuge.io/
Coinbase,Ceramic Network,"Platform for creating, hosting, and sharing streams of data",https://ceramic.network/
Coinbase,Certik,Leading blockchain & smart contract security provider,https://www.certik.com/
Coinbase,Certora,Security analysis tools for Smart Contracts,https://www.certora.com/
Coinbase,Chainflip,Frictionless cross-chain swaps,https://chainflip.io/
Coinbase,ChainPatrol,Real-Time Security for Web3 Communities,https://chainpatrol.io/
Coinbase,Chaos Labs,Simulation environments for testing smart contract security,https://chaoslabs.xyz/
Coinbase,Charm Finance,The easiest way to provide and manage liquidity,https://charm.fi/
Coinbase,ClayStack,Liquid staking protocol for Polygon,https://claystack.com/
Coinbase,Clockwork Labs,Gaming studio building proprietary distributed database infrastructure,https://clockworklabs.io/
Coinbase,CloudBurst,Cloudburst is a dark web threat intelligence platform providing API tools to detect and prevent crypto fraud campaigns,https://burst.cloud/index.php
Coinbase,CLST,Stablecoin money market platform for institutions,https://www.clst.com/
Coinbase,CoFiX,Next-generation AMM that uses external oracle data to inform its pricing algorithm,https://cofix.io/#/swap
Coinbase,Coherent,Powerful APIs for your web3 user data,https://coherent.sh/
Coinbase,Coin Metrics,"Cryptoasset market and network data APIs, analytics, and research",https://coinmetrics.io/
Coinbase,CoinDCX,Leading Indian crypto exchange,https://coindcx.com/
Coinbase,Coinfeeds,API for aggregating crypto news & social sentiment,https://coinfeeds.io/
Coinbase,Coinmine,All-in-one crypto miner,https://coinmine.com/
Coinbase,CoinSwitch,India’s largest crypto app for retail investors,https://coinswitch.co/
Coinbase,CoinTracker,The gold standard in cryptocurrency portfolio tracking & tax compliance,https://www.cointracker.io
Coinbase,Collective,"Platform for tracking, analyzing, and engaging in NFT communities",https://collective.xyz/
Coinbase,Commonwealth,All-in-one community management & governance platform,https://commonwealth.im/ 
Coinbase,Composable Finance,Cross-chain interoperability solution for Polkadot,https://www.composable.finance/
