Parent,Venture,Description,Link
DCG,Abra,"Abra enables both individuals and businesses to safely and securly buy, trade, and borrow against cryptocurrencies all from their app and wallet.",https://www.abra.com/
DCG,Acala Network,"The DeFi hub of Polkadot, offering an open platform for applications to use smart contracts or built-in protocols. Powering the aUSD decendtralized stablecoin.",https://acala.network/
DCG,AlloyX,Decentralized protocol which provides liquid staking for exposure to baskets of undercollateralized crypto loans.,https://www.alloyx.xyz/
DCG,Anode Labs,Crypto-based network for virtualized power assets that lets users monetize spare energy capacity and limits overall Co2 emissions.,https://www.anodelabs.io/
DCG,API3,Delivering traditional API services to smart contract platforms in a decentralized and trust-minimized way.,https://api3.org/
DCG,Arcana,"Focused on building a best-in-class tool kit (auth, data access, and storage) for privacy preserving applications on Ethereum or other EVM-compatible blockchains.",https://arcana.network/
DCG,Arch Finance,Professionally-built investment strategies automated in decentralized protocols and powered by tokenized index products.,https://www.arch.finance/
DCG,Artie,"Blending together the worlds of culture, technology, music, art, gaming, and Web3 Artie is a game development platform leveraging NFTs as rewards and in-game assets.",https://www.artie.com/
DCG,Aurora,Project built on NEAR blockchain that allows for Ethereum Virtual Machine (EVM) contracts to be run on-chain.,https://www.aurorachain.io/
DCG,Averon,Mobile identity verification API solution.,https://averon.a2hosted.com/
DCG,Axoni,Axoni has built private blockchain solutions for financial institutions.,https://axoni.com/
DCG,Aza Finance,"Global financial services firm specializing in international payments, foriegn exchange, and treasury for enterprises doing business in Africa.",https://azafinance.com/
DCG,Ballet Crypto,Retail-friendly self-custody cold storage crypto wallet.,https://www.balletcrypto.com/en/
DCG,Bastion Protocol (Bengine),Bringing lending to Aurora on NEAR.,https://bastionprotocol.com/
DCG,BCB Group,"European bank serving crypto-native businesses with OTC, yield, custody, and treasury products among others.",https://www.bcbgroup.com/
DCG,Big Time Studios,A videogame tech company that builds infrastructure to introduce NFTs into player-owned economies.,https://bigtime.gg/
DCG,Bigchain DB,Blockchain database solutions for businesses and creator of the Ocean Protocol who is focused on giving power back to data owners.,https://www.bigchaindb.com/
DCG,BitFlyer,Japanese cryptocurrency exchange.,https://bitflyer.com/en-eu/
DCG,BitGo,"BitGo offers institutional staking, custody, and trading.",https://www.bitgo.com/
DCG,Bitmark,Distributed registry for digital rights and the creator of the Autonomy NFT mobile wallet.,https://bitmark.com/
DCG,Bitnomial,Bitcoin derivatives exchange.,https://bitnomial.com/
DCG,BitOasis,Cryptocurrency exchange based in the United Arab Emirates focused on the Middle East and North Africa (MENA) region.,https://bitoasis.net/en/home
DCG,BitPay,"BitPay is a leader in enabling crypto payments across a vast merchant network, and also offers cash back on purchases.",https://bitpay.com/
DCG,Bitso,Leading Latin American cryptocurrency exchange.,https://bitso.com/
DCG,Bittensor,"Bittensor is an open-source protocol that powers a decentralized, blockchain-based, machine learning network which aims to result in a pure market for artificial intelligence.",https://bittensor.com
DCG,Blockchain,"Global cryptocurrency exchange based in London also offering institutional OTC markets, lending, and custodian services.",https://www.blockchain.com/
DCG,Blockstream,"Offering a Bitcoin layer-2 solution, mining services, energy services, a block explorer, and more, Blockstream is expanding the capabilities of Bitcoin",https://blockstream.com/
DCG,Blokur,"Blockchain platform for creative rights management, focused on the music industry.",https://blokur.com/
DCG,Bloq,"Enterprise-grade blockchain infrastructure for staking, mining, the metaverse, and more.",https://www.bloq.com/
DCG,Bold Financial Technologies,"Acquired by Airbnb in 2016.Bold Financial Technologies specilized in facilitating global payments to many recipients, targeting enterprise clients like Airbnb, Uber, and eBay.",https://gobold.com/
DCG,Brave,"Brave is on a mission to protect your privacy online with a privacy preserving web-browser, search engine, and more.",https://brave.com/
DCG,Buda,Leading South American cryptocurrency exchange.,https://www.buda.com/
DCG,C3 Protocol,"Built atop Algorand, C3 allows for cross-margin trading in DeFi and aims to reduce the fragmentation of liquidity across blockchains through their novel multi-chain protocol.",https://c3.ai/
DCG,Cambridge Blockchain,Acquired by Blockchains LLC in 2020.Cambridge Blockchain helped institutions meet the strictest data privacy regulations with seamless data validation.,https://cambridgeblockchain.org/
DCG,Celestia,Solving blockchain scaling by building an interoperable blockchain focusing on modularity and data availability.,https://celestia.org/
DCG,Ceramic Network,"Creators of Ceramic Network, building a decentralized data infrastructure allowing for interoperability between wallets, apps, databases, and services across the Web3 ecosystem.",https://ceramic.network/
DCG,Chain,"Acquired by Stellar in 2018 and spun out in 2020.Chain was on a mission to enable a smarter and more connected economy, building infrastructure for Web3.",https://chain.com/
DCG,Chainalysis,"Blockchain compliance and transaction monitoring for banks, law enforcement and other organizations.",https://www.chainalysis.com/
DCG,Circle,Blockchain-based integrated consumer finance company and creator of USDC.,https://www.circle.com/en/
DCG,Civic,Blockchain identity management software for solving decentralized identity.,https://www.civic.com/
DCG,Cobalt,Institutional market infrastructure for digital assets and FX.,https://www.cobaltdl.com/
DCG,Cognito,Acquired by Plaid in 2022.Cognito was an identity management and verification software that automated core compliance and onboarding functions.,https://cognitohq.com/
DCG,Coinbase,Dominant US cryptocurrency exchange.,https://www.coinbase.com/
DCG,CoinDesk,"Media, Data, & Events",https://www.coindesk.com/
DCG,CoinFLEX,Cryptocurrency futures exchange with a native stablecoin (flexUSD) and an efficient AMM.,https://coinflex.com/home
DCG,Coinhouse,Leading French cryptocurrency exchange.,https://www.coinhouse.com/
DCG,Coinjar,Leading Australian cryptocurrency exchange.,https://www.coinjar.com/
DCG,CoinList,Compliant token sales platform operating an exchange.,https://coinlist.co/
DCG,Coinme,"Lets people buy crypto with cash at its network of kiosks, ATMs, and merchants.",https://coinme.com/
DCG,CoinMetrics,Coin Metrics organizes the world's crypto data and makes it transparent and accessible.,https://coinmetrics.io/
DCG,Coins.ph,"Acquired by Go-Jek in 2019. Coins.ph started as a Phillippines based crypto exchange, but pivoted to broader fintech later on offering services such as mobile payments.",https://coins.ph/
DCG,Colu,"Creates ""city coins"" to help incentivize strong civic engagement in these cities.",https://colu.com/
DCG,Credora,"Zero-knowledge infrastructure that enables risk-netting across multiple venues and counterparties, leading to more transparency for credit markets.",https://credora.io/
DCG,Curv,Acquired by PayPal in 2021. Curve was a crytpocurrency security company that offers a cloud-based service to access crypto wallets without any hardware device.,http://www.curv.co/
DCG,Custodia,Custodia Bank intends to provide a full suite of banking and financial services for customers looking to minimize regulatory and transactional risks across digital assets.,https://custodiabank.com/
DCG,Custos,"Combatting digital piracy globally using decentralized systems such as the Bitcoin blockchain to track, watermark, and protect digital content.",https://www.custostech.com/
DCG,Dapper Labs,"Creator of CryptoKitties, Flow Blockchain, NBA TopShot among other NFT centric games.",https://www.dapperlabs.com/
DCG,Decent,"Supporting small businesses by providing HR support, payrool support, and health insurance benefits through their platform.",https://www.decent.com/
DCG,Decent DAO,On-chain crypto venture studio that creates open-source tokenized protocols and infrastructure.,https://decentlabs.io/
DCG,Decentral Games,Decentral Games has established one of the most popular Decentraland attractions with it's metaverse casino-style poker games.,https://coinme.com/
DCG,Decentraland,One of the most well known blockchain-based open metaverses.,https://decentraland.org/
DCG,DeSo,"Social media platform that allows users to purchase ""creator coins"" and is powered by the native DeSo token.",https://bitclout.com/
DCG,Digital Assets Data,"Enterprise-grade software and data feeds for crypto hedge funds, protocol teams, family offices, research firms, global consulting firms, banks, sovereigns, and other market participants.",https://www.digitalasset.com/
